,Unnamed: 0,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
12183,12183,0.425114,3,0.829787,0.073316,0.388277,0.003467,0.422915,0.414912,0
6658,6658,0.018362,7,0.723404,0.069713,0.28072,0.003467,0.422915,0.414912,1
29123,29123,0.866997,6,0.744681,0.035007,0.478727,0.002354,0.287416,0.70307,1
1828,1828,0.004734,5,0.085106,0.075207,0.366111,0.003467,0.422915,0.414912,0
36663,36663,0.889385,2,0.829787,0.068542,0.577358,0.004508,0.458312,0.660526,1
14000,14000,0.429848,6,0.680851,0.106911,0.496727,0.003467,0.422915,0.414912,1
26837,26837,0.469404,1,0.106383,0.025579,0.077804,0.001697,0.200155,0.557018,0
32363,32363,0.876244,4,0.234043,0.033656,0.391996,0.00211,0.422061,0.767544,1
16964,16964,0.43883,5,0.425532,0.049898,0.355103,0.003467,0.422915,0.414912,0
13591,13591,0.429494,5,0.148936,0.067041,0.168253,0.003467,0.422915,0.414912,0
9322,9322,0.02699,7,0.212766,0.068512,0.083309,0.003467,0.422915,0.414912,0
5499,5499,0.014247,4,0.574468,0.040591,0.497769,0.003467,0.422915,0.414912,0
11534,11534,0.424539,4,0.297872,0.055242,0.241148,0.003467,0.422915,0.414912,0
8215,8215,0.022919,5,0.148936,0.046085,0.14222,0.003467,0.422915,0.414912,0
26561,26561,0.469139,2,0.361702,0.065059,0.541059,0.004248,0.505955,0.523684,1
40688,40688,1.0,2,0.680851,0.075177,0.478875,0.005044,0.511652,0.453947,1
7728,7728,0.022477,2,0.0,0.057794,0.402112,0.003467,0.422915,0.414912,0
23330,23330,0.460024,5,0.042553,0.030713,0.44704,0.002042,0.415329,0.363596,0
35021,35021,0.884828,3,0.617021,0.029242,0.548944,0.002025,0.559296,0.399561,0
6870,6870,0.018583,5,0.12766,0.045965,0.192651,0.003467,0.422915,0.414912,0
31861,31861,0.872572,7,0.787234,0.031074,0.362838,0.001631,0.277317,0.869737,0
5051,5051,0.013849,2,0.234043,0.064519,0.32535,0.003467,0.422915,0.414912,0
41466,41466,0.903013,4,0.893617,0.069593,0.521125,0.004705,0.525634,0.44693,0
25464,25464,0.500111,7,0.510638,0.062808,0.353466,0.004263,0.278353,0.419298,1
33241,33241,0.877041,1,0.531915,0.034346,0.354359,0.002264,0.203521,0.600877,1
25131,25131,0.464758,7,0.574468,0.028071,0.344838,0.001878,0.258933,0.595614,0
37837,37837,0.893589,6,0.276596,0.165186,0.608896,0.010837,0.493268,0.639035,1
39173,39173,0.894828,6,0.106383,0.083013,0.416691,0.005399,0.4855,0.730263,0
18586,18586,0.443387,4,0.212766,0.034046,0.192056,0.001685,0.227084,0.765789,0
26559,26559,0.469139,2,0.319149,0.049297,0.470098,0.003265,0.495857,0.432456,1
38320,38320,0.894031,2,0.340426,0.086586,0.712734,0.005781,0.721129,0.450877,1
37962,37962,0.893677,1,0.893617,0.050588,0.530051,0.003336,0.385034,0.613158,1
20404,20404,0.451219,7,0.085106,0.040771,0.41327,0.002719,0.430865,0.518421,0
31924,31924,0.875846,2,0.085106,0.020055,0.124814,0.000974,0.258415,0.775877,0
7921,7921,0.022654,6,0.021277,0.10496,0.371021,0.003467,0.422915,0.414912,1
11295,11295,0.031901,6,0.319149,0.058394,0.24814,0.003467,0.422915,0.414912,0
10868,10868,0.031503,4,0.425532,0.078029,0.502529,0.003467,0.422915,0.414912,1
3103,3103,0.008982,3,0.659574,0.125796,0.585689,0.003467,0.422915,0.414912,1
7126,7126,0.021902,3,0.468085,0.071995,0.488396,0.003467,0.422915,0.414912,1
4256,4256,0.013097,6,0.680851,0.041401,0.327135,0.003467,0.422915,0.414912,0
26326,26326,0.468917,4,0.468085,0.049958,0.515323,0.003415,0.462714,0.294298,1
4670,4670,0.013495,1,0.297872,0.106341,0.547902,0.003467,0.422915,0.414912,1
15134,15134,0.434096,2,0.297872,0.055242,0.493157,0.003467,0.422915,0.414912,1
15622,15622,0.434538,5,0.468085,0.047526,0.329961,0.003467,0.422915,0.414912,0
36594,36594,0.889341,1,0.382979,0.029152,0.427849,0.001778,0.276023,0.680263,1
35480,35480,0.885271,6,0.170213,0.02672,0.175692,0.001743,0.244951,0.673684,0
8358,8358,0.023052,1,0.12766,0.046866,0.090152,0.003467,0.422915,0.414912,0
16116,16116,0.438034,1,0.765957,0.125465,0.576465,0.003467,0.422915,0.414912,1
28863,28863,0.47436,1,0.319149,0.02642,0.200238,0.001747,0.081823,0.879386,1
20671,20671,0.45144,5,0.659574,0.03927,0.581821,0.002657,0.656655,0.414912,0
24836,24836,0.464493,1,0.425532,0.027801,0.333829,0.001843,0.205075,0.654825,0
28917,28917,0.474404,2,0.446809,0.0399,0.423981,0.002707,0.328845,0.486404,1
42440,42440,0.90704,4,0.170213,0.036958,0.162005,0.00247,0.257897,0.568421,0
30963,30963,0.871776,3,0.06383,0.02627,0.191015,0.001255,0.336613,0.726316,0
33177,33177,0.876997,7,0.191489,0.029062,0.141625,0.001911,0.181771,0.557018,0
28519,28519,0.47405,1,0.148936,0.022667,0.087325,0.0015,0.146556,0.790351,0
17119,17119,0.438963,1,0.659574,0.058725,0.450461,0.003467,0.422915,0.414912,1
7716,7716,0.022433,1,0.765957,0.089618,0.494793,0.003467,0.422915,0.414912,1
17284,17284,0.442237,5,0.085106,0.043893,0.274472,0.003467,0.422915,0.414912,0
20344,20344,0.45113,5,0.851064,0.083073,0.739363,0.005521,0.56059,0.550877,1
16591,16591,0.438476,4,0.659574,0.063468,0.511604,0.003467,0.422915,0.414912,1
30611,30611,0.871422,2,0.744681,0.027381,0.636566,0.001789,0.595287,0.669737,0
26550,26550,0.469139,2,0.12766,0.024739,0.097441,0.001624,0.125583,0.659649,0
15635,15635,0.434538,5,0.744681,0.044314,0.314639,0.003467,0.422915,0.414912,0
13467,13467,0.429362,2,0.574468,0.061787,0.53734,0.003467,0.422915,0.414912,0
3948,3948,0.009778,7,0.255319,0.041281,0.139244,0.003467,0.422915,0.414912,0
43393,43393,0.907924,3,0.021277,0.054161,0.33011,0.003652,0.400052,0.465351,0
25924,25924,0.46551,3,0.085106,0.02657,0.166171,0.001803,0.272398,0.567544,0
11833,11833,0.424804,3,0.531915,0.058394,0.396608,0.003467,0.422915,0.414912,0
26804,26804,0.46936,7,0.425532,0.046415,0.404493,0.003066,0.323149,0.600877,1
18682,18682,0.443476,6,0.212766,0.036057,0.214222,0.001996,0.2768,0.757895,0
45239,45239,0.915756,6,0.489362,0.096613,0.589705,0.00646,0.562921,0.403509,1
43273,43273,0.907792,7,0.531915,0.043053,0.361797,0.002871,0.348006,0.542544,0
19351,19351,0.447148,6,0.148936,0.01252,0.254686,0.000804,0.240031,0.635526,0
25990,25990,0.465555,4,0.468085,0.114087,0.518298,0.010949,0.361989,0.165351,1
22209,22209,0.455909,2,0.702128,0.067401,0.669295,0.00468,0.691093,0.198246,1
1539,1539,0.004469,6,0.06383,0.045394,0.382178,0.003467,0.422915,0.414912,0
11800,11800,0.42476,2,0.851064,0.058394,0.31925,0.003467,0.422915,0.414912,0
9947,9947,0.027565,6,0.234043,0.071394,0.170931,0.003467,0.422915,0.414912,1
10100,10100,0.030795,2,0.425532,0.098024,0.535852,0.003467,0.422915,0.414912,1
3974,3974,0.009778,7,0.808511,0.041732,0.609194,0.003467,0.422915,0.414912,0
35600,35600,0.885359,1,0.680851,0.034796,0.347516,0.00226,0.286639,0.771053,0
17727,17727,0.442591,7,0.319149,0.053741,0.383963,0.003521,0.267219,0.500526,0
21204,21204,0.451927,2,0.765957,0.135553,0.885748,0.00883,0.697566,0.545175,1
42975,42975,0.907526,1,0.319149,0.038729,0.218387,0.001716,0.137494,0.822807,0
15211,15211,0.43414,3,0.914894,0.056533,0.436924,0.003467,0.422915,0.414912,0
35129,35129,0.893677,5,0.87234,0.032785,0.50476,0.002291,0.560849,0.350877,1
12858,12858,0.425733,3,0.893617,0.084634,0.38679,0.003467,0.422915,0.414912,1
7619,7619,0.022344,6,0.744681,0.069143,0.314639,0.003467,0.422915,0.414912,1
24693,24693,0.46436,5,0.446809,0.029903,0.493157,0.002038,0.481098,0.371053,1
11747,11747,0.424716,1,0.744681,0.085985,0.473073,0.003467,0.422915,0.414912,0
26131,26131,0.46874,7,0.404255,0.030323,0.412824,0.002036,0.301916,0.717105,0
40331,40331,0.898943,2,0.234043,0.05209,0.282059,0.003384,0.340497,0.631579,0
18600,18600,0.443387,4,0.510638,0.044734,0.501934,0.003039,0.523563,0.480702,0
6826,6826,0.018539,4,0.212766,0.045965,0.187593,0.003467,0.422915,0.414912,0
26720,26720,0.469271,5,0.680851,0.056683,0.570217,0.003716,0.50233,0.397368,1
15234,15234,0.434184,4,0.382979,0.099346,0.565457,0.003467,0.422915,0.414912,1
42481,42481,0.907084,5,0.021277,0.071785,0.450164,0.004763,0.472035,0.475877,1
25194,25194,0.473563,1,0.893617,0.028522,0.299911,0.001932,0.269549,0.515789,1
23300,23300,0.45998,4,0.425532,0.048457,0.559952,0.003315,0.513465,0.285526,0
18377,18377,0.443166,6,0.87234,0.051639,0.50476,0.003469,0.448731,0.525,1
13581,13581,0.42945,4,0.957447,0.058364,0.443469,0.003467,0.422915,0.414912,0
26344,26344,0.468917,4,0.851064,0.028882,0.383963,0.001969,0.35914,0.346491,0
11317,11317,0.031901,6,0.787234,0.082923,0.271348,0.003467,0.422915,0.414912,1
29838,29838,0.867661,7,0.638298,0.044344,0.42294,0.002912,0.595287,0.397368,1
629,629,0.000575,1,0.106383,0.043833,0.153079,0.003467,0.422915,0.414912,0
34776,34776,0.88151,5,0.510638,0.027231,0.48438,0.001847,0.564733,0.342982,0
3684,3684,0.009513,1,0.765957,0.041762,0.818506,0.003467,0.422915,0.414912,0
38699,38699,0.894385,3,0.234043,0.060136,0.311068,0.003916,0.387882,0.669298,0
33622,33622,0.880448,2,0.468085,0.038549,0.593276,0.002661,0.523822,0.326754,1
10680,10680,0.031326,7,0.510638,0.074817,0.275513,0.003467,0.422915,0.414912,1
12163,12163,0.425114,3,0.404255,0.062838,0.499702,0.003467,0.422915,0.414912,0
4589,4589,0.013406,6,0.617021,0.041371,0.336805,0.003467,0.422915,0.414912,0
28563,28563,0.474094,2,0.06383,0.028191,0.166766,0.001878,0.267737,0.75614,0
30692,30692,0.87151,4,0.425532,0.027831,0.691758,0.001735,0.589073,0.8,0
10320,10320,0.031016,7,0.0,0.059265,0.213924,0.003467,0.422915,0.414912,0
10521,10521,0.031193,4,0.191489,0.053981,0.188634,0.003467,0.422915,0.414912,0
31036,31036,0.87182,4,0.595745,0.034286,0.615144,0.002256,0.790523,0.260965,1
37747,37747,0.8935,4,0.404255,0.113186,0.746802,0.007588,0.730968,0.470614,1
44034,44034,0.911553,2,0.382979,0.05218,0.548795,0.003419,0.543501,0.507018,1
38406,38406,0.89412,4,0.12766,0.063168,0.347962,0.004071,0.46608,0.752632,0
35452,35452,0.885226,5,0.595745,0.040261,0.514281,0.002829,0.532885,0.227632,0
43811,43811,0.911331,4,0.744681,0.043803,0.438262,0.002981,0.516831,0.32193,0
10376,10376,0.031061,1,0.170213,0.051429,0.133145,0.003467,0.422915,0.414912,0
2822,2822,0.008716,4,0.808511,0.075417,0.714668,0.003467,0.422915,0.414912,0
17218,17218,0.439051,3,0.723404,0.055452,0.511306,0.003467,0.422915,0.414912,0
33653,33653,0.880492,3,0.106383,0.035277,0.215115,0.002277,0.292595,0.625439,0
24014,24014,0.460643,5,0.297872,0.036358,0.468313,0.002472,0.476696,0.302632,1
3693,3693,0.009513,1,0.957447,0.041732,0.590598,0.003467,0.422915,0.414912,0
20362,20362,0.451175,6,0.212766,0.0399,0.278042,0.002601,0.2913,0.75307,0
30203,30203,0.868015,1,0.234043,0.025039,0.12288,0.000831,0.119886,0.836404,0
35098,35098,0.893677,5,0.212766,0.031524,0.210949,0.002019,0.296479,0.755702,1
27079,27079,0.469625,6,0.148936,0.027201,0.149212,0.001838,0.187985,0.560526,0
15915,15915,0.437857,4,0.574468,0.050859,0.500149,0.003467,0.422915,0.414912,0
6669,6669,0.018362,7,0.957447,0.075057,0.357037,0.003467,0.422915,0.414912,1
15576,15576,0.434494,4,0.510638,0.055842,0.541208,0.003467,0.422915,0.414912,1
27370,27370,0.469891,5,0.212766,0.051849,0.332342,0.003504,0.324184,0.644298,0
7273,7273,0.022034,6,0.531915,0.056263,0.3133,0.003467,0.422915,0.414912,1
30388,30388,0.868192,5,0.085106,0.027951,0.185064,0.000974,0.287416,0.682895,0
42589,42589,0.907172,7,0.276596,0.043203,0.228652,0.002842,0.292077,0.682018,0
2178,2178,0.005044,5,0.382979,0.047886,0.642071,0.003467,0.422915,0.414912,0
27828,27828,0.473386,7,0.765957,0.042332,0.41922,0.002885,0.273951,0.548684,1
44093,44093,0.911597,3,0.617021,0.067161,0.505207,0.0043,0.592439,0.437719,1
21442,21442,0.452148,7,0.723404,0.038669,0.573193,0.002636,0.356292,0.385088,1
317,317,0.000265,1,0.617021,0.13105,0.467718,0.003467,0.422915,0.414912,1
13723,13723,0.429583,7,0.914894,0.056593,0.337697,0.003467,0.422915,0.414912,0
43793,43793,0.911331,4,0.361702,0.053591,0.536001,0.003546,0.579751,0.485088,1
18433,18433,0.443255,1,0.021277,0.046055,0.31687,0.003132,0.348524,0.464035,0
23915,23915,0.460555,3,0.234043,0.022457,0.239363,0.001481,0.275246,0.715351,0
971,971,0.000885,1,0.234043,0.122703,0.244421,0.003467,0.422915,0.414912,1
18513,18513,0.443299,2,0.702128,0.084304,0.594615,0.005654,0.595028,0.509649,1
16059,16059,0.437989,7,0.574468,0.046806,0.284439,0.003467,0.422915,0.414912,0
30964,30964,0.871776,3,0.085106,0.019305,0.158137,0.000989,0.29622,0.820614,0
13044,13044,0.428963,7,0.765957,0.058034,0.312853,0.003467,0.422915,0.414912,0
35615,35615,0.885359,1,1.0,0.03981,0.353466,0.002009,0.344899,0.725877,0
44765,44765,0.912216,3,0.617021,0.096944,0.513091,0.006629,0.586225,0.288158,1
10797,10797,0.031415,2,0.957447,0.099346,0.420857,0.003467,0.422915,0.414912,1
36646,36646,0.889385,2,0.468085,0.05257,0.481404,0.002009,0.306059,0.746491,1
927,927,0.000841,7,0.319149,0.083884,0.23371,0.003467,0.422915,0.414912,0
577,577,0.000531,7,0.021277,0.045214,0.290539,0.003467,0.422915,0.414912,0
2745,2745,0.008672,3,0.191489,0.074877,0.217644,0.003467,0.422915,0.414912,1
22517,22517,0.456219,2,0.106383,0.033596,0.204999,0.00216,0.34956,0.69693,1
20503,20503,0.451307,2,0.148936,0.034526,0.192205,0.00162,0.266442,0.816228,0
31591,31591,0.872351,2,0.148936,0.020806,0.141476,0.000839,0.194459,0.885526,0
26381,26381,0.468962,5,0.617021,0.053381,0.499405,0.003652,0.58493,0.182456,1
735,735,0.000664,3,0.319149,0.125706,0.590003,0.003467,0.422915,0.414912,1
9687,9687,0.0273,7,0.829787,0.077639,0.336656,0.003467,0.422915,0.414912,1
41077,41077,0.902659,3,0.787234,0.089438,0.638649,0.005883,0.683843,0.443421,1
36213,36213,0.995443,7,0.446809,0.040681,0.494198,0.002619,0.374935,0.818421,1
31448,31448,0.872218,6,0.170213,0.027051,0.195775,0.000841,0.26204,0.885526,0
8481,8481,0.023141,3,0.702128,0.079621,0.442577,0.003467,0.422915,0.414912,0
2027,2027,0.004911,2,0.234043,0.077879,0.260339,0.003467,0.422915,0.414912,0
37743,37743,0.8935,4,0.319149,0.113636,0.74457,0.008575,0.624029,0.591228,1
19254,19254,0.44706,4,0.12766,0.016933,0.303481,0.001188,0.326256,0.764912,0
21189,21189,0.451927,2,0.446809,0.047136,0.694287,0.003095,0.619886,0.577193,0
13441,13441,0.429362,2,0.021277,0.056593,0.286671,0.003467,0.422915,0.414912,0
17627,17627,0.442503,5,0.234043,0.045094,0.220768,0.002956,0.252201,0.500526,0
19348,19348,0.447148,6,0.085106,0.031014,0.382922,0.001477,0.381926,0.765789,0
33905,33905,0.880713,1,0.361702,0.032545,0.281166,0.001163,0.175039,0.789474,0
10977,10977,0.031592,6,0.702128,0.094842,0.314639,0.003467,0.422915,0.414912,1
35915,35915,0.968895,1,0.234043,0.02648,0.137459,0.00172,0.197307,0.756579,0
43651,43651,0.911199,1,0.404255,0.043653,0.381583,0.002815,0.247022,0.745175,0
10281,10281,0.030972,6,0.191489,0.070223,0.122731,0.003467,0.422915,0.414912,0
27592,27592,0.473165,2,0.851064,0.044884,0.483636,0.003041,0.387623,0.429386,1
29457,29457,0.867307,6,0.702128,0.036238,0.445403,0.00247,0.484205,0.425877,1
2132,2132,0.005,4,0.425532,0.050859,0.600714,0.003467,0.422915,0.414912,1
28074,28074,0.473607,5,0.893617,0.029362,0.426361,0.002002,0.455981,0.409649,0
8473,8473,0.023141,3,0.531915,0.101747,0.477536,0.003467,0.422915,0.414912,1
5475,5475,0.014247,4,0.06383,0.040711,0.387533,0.003467,0.422915,0.414912,0
3938,3938,0.009778,7,0.042553,0.041281,0.328325,0.003467,0.422915,0.414912,0
8013,8013,0.022698,7,0.957447,0.089108,0.325647,0.003467,0.422915,0.414912,1
9543,9543,0.027167,4,0.829787,0.05215,0.416245,0.003467,0.422915,0.414912,0
25625,25625,0.465201,3,0.87234,0.051369,0.464743,0.003573,0.451321,0.22193,0
4072,4072,0.009867,2,0.851064,0.047286,0.669295,0.003467,0.422915,0.414912,0
10075,10075,0.030751,1,0.914894,0.059956,0.407468,0.003467,0.422915,0.414912,0
18033,18033,0.442857,6,0.702128,0.091299,0.60607,0.006134,0.498446,0.503509,1
29896,29896,0.867705,1,0.851064,0.031134,0.376822,0.00146,0.301139,0.814912,0
27619,27619,0.473209,3,0.404255,0.043053,0.638352,0.009001,0.522009,0.36886,1
23651,23651,0.460289,4,0.744681,0.07914,0.581226,0.005411,0.602796,0.278947,1
6948,6948,0.018627,6,0.765957,0.108863,0.524249,0.003467,0.422915,0.414912,1
12902,12902,0.425778,4,0.808511,0.096073,0.442279,0.003467,0.422915,0.414912,1
1223,1223,0.004159,6,0.489362,0.044134,0.406427,0.003467,0.422915,0.414912,0
15882,15882,0.437812,3,0.893617,0.059535,0.341863,0.003467,0.422915,0.414912,1
37843,37843,0.893589,6,0.404255,0.102198,0.769116,0.007032,0.678405,0.570175,1
204,204,0.000177,6,0.255319,0.062417,0.149807,0.003467,0.422915,0.414912,0
11746,11746,0.424716,1,0.723404,0.103399,0.492859,0.003467,0.422915,0.414912,1
22958,22958,0.456617,4,0.297872,0.032365,0.603689,0.002198,0.515018,0.562281,0
23310,23310,0.45998,4,0.638298,0.030353,0.449122,0.002069,0.460383,0.331579,0
9470,9470,0.027123,3,0.297872,0.05215,0.445849,0.003467,0.422915,0.414912,0
3572,3572,0.009424,6,0.425532,0.041762,0.564564,0.003467,0.422915,0.414912,0
22361,22361,0.456042,5,0.87234,0.055692,0.653228,0.003814,0.524599,0.464912,1
24369,24369,0.460953,5,0.702128,0.033025,0.5,0.002287,0.424909,0.42807,0
43476,43476,0.907969,4,0.765957,0.041942,0.46266,0.002831,0.45624,0.411404,0
43482,43482,0.907969,4,0.893617,0.041732,0.436626,0.002794,0.425168,0.436404,0
4248,4248,0.013097,6,0.510638,0.041582,0.396757,0.003467,0.422915,0.414912,0
33132,33132,0.876952,6,0.255319,0.03924,0.453734,0.002624,0.511911,0.340351,1
11636,11636,0.424627,6,0.425532,0.085235,0.341267,0.003467,0.422915,0.414912,1
9781,9781,0.027388,2,0.787234,0.074757,0.419964,0.003467,0.422915,0.414912,0
25409,25409,0.495686,6,0.361702,0.051279,0.456709,0.00355,0.506991,0.246491,1
44265,44265,0.911774,7,0.191489,0.036268,0.140286,0.002364,0.222941,0.697368,0
31731,31731,0.872484,5,0.06383,0.038339,0.225677,0.001068,0.367944,0.703509,0
43498,43498,0.908013,5,0.212766,0.084935,0.319845,0.005652,0.412998,0.532456,1
1168,1168,0.001062,5,0.340426,0.044043,0.610235,0.003467,0.422915,0.414912,0
14257,14257,0.430114,5,0.021277,0.051849,0.291877,0.003467,0.422915,0.414912,0
8788,8788,0.026503,3,0.085106,0.047526,0.184171,0.003467,0.422915,0.414912,0
146,146,0.000133,5,0.042553,0.074517,0.395567,0.003467,0.422915,0.414912,1
22503,22503,0.456175,1,0.829787,0.032485,0.451205,0.002158,0.420508,0.696491,1
8503,8503,0.023185,4,0.148936,0.067761,0.128979,0.003467,0.422915,0.414912,0
3280,3280,0.009159,7,0.340426,0.086496,0.414014,0.003467,0.422915,0.414912,1
9534,9534,0.027167,4,0.638298,0.074817,0.427551,0.003467,0.422915,0.414912,1
9839,9839,0.027432,3,1.0,0.061036,0.400922,0.003467,0.422915,0.414912,0
10115,10115,0.030795,2,0.744681,0.074817,0.466379,0.003467,0.422915,0.414912,0
34715,34715,0.881465,4,0.234043,0.028972,0.247397,0.001153,0.304247,0.714474,0
21118,21118,0.451838,7,0.978723,0.112856,0.538976,0.007588,0.426722,0.554386,1
6035,6035,0.017787,1,0.744681,0.123214,0.579143,0.003467,0.422915,0.414912,1
17984,17984,0.442812,5,0.680851,0.051699,0.470098,0.003579,0.464267,0.360526,0
20116,20116,0.447856,1,0.085106,0.028191,0.261827,0.001786,0.337131,0.732018,0
3278,3278,0.009159,7,0.297872,0.073976,0.246802,0.003467,0.422915,0.414912,0
8521,8521,0.023185,4,0.531915,0.07959,0.446742,0.003467,0.422915,0.414912,1
42586,42586,0.907172,7,0.212766,0.031224,0.137905,0.002052,0.228379,0.676316,0
4612,4612,0.013451,7,0.085106,0.057464,0.259595,0.003467,0.422915,0.414912,0
10679,10679,0.031326,7,0.489362,0.056833,0.288605,0.003467,0.422915,0.414912,0
26905,26905,0.469448,2,0.531915,0.050859,0.503273,0.003409,0.494562,0.429386,1
7451,7451,0.022211,3,0.234043,0.046445,0.193395,0.003467,0.422915,0.414912,0
25560,25560,0.465156,2,0.510638,0.054011,0.480363,0.003776,0.504143,0.122368,1
30598,30598,0.871422,2,0.468085,0.042422,0.711693,0.002856,0.770844,0.432018,1
4673,4673,0.013495,1,0.361702,0.057464,0.623178,0.003467,0.422915,0.414912,0
11413,11413,0.03199,1,0.787234,0.058394,0.249777,0.003467,0.422915,0.414912,0
24415,24415,0.460997,6,0.659574,0.030023,0.429337,0.002059,0.397462,0.373684,0
10811,10811,0.031459,3,0.234043,0.078209,0.352722,0.003467,0.422915,0.414912,1
30672,30672,0.87151,4,0.0,0.036177,0.379946,0.001653,0.358364,0.791228,0
42035,42035,0.903544,2,0.744681,0.055212,0.498066,0.003741,0.480062,0.435526,0
21244,21244,0.451971,3,0.595745,0.034106,0.570812,0.002324,0.59218,0.341667,0
3336,3336,0.009203,1,0.510638,0.043203,0.642666,0.003467,0.422915,0.414912,0
13413,13413,0.429317,1,0.446809,0.125465,0.697263,0.003467,0.422915,0.414912,1
40543,40543,0.89912,6,0.659574,0.061757,0.459536,0.00413,0.487571,0.537719,0
35616,35616,0.885403,2,0.0,0.040261,0.336805,0.002009,0.332988,0.734649,0
12692,12692,0.425601,7,0.425532,0.076258,0.34454,0.003467,0.422915,0.414912,1
19246,19246,0.447016,3,0.978723,0.042662,0.570068,0.002817,0.48783,0.475439,0
34887,34887,0.884695,7,0.829787,0.030503,0.440345,0.001969,0.430347,0.623246,0
2824,2824,0.008716,4,0.851064,0.116729,0.676584,0.003467,0.422915,0.414912,1
14841,14841,0.43383,3,0.191489,0.044884,0.205594,0.003467,0.422915,0.414912,0
33832,33832,0.880625,6,0.851064,0.03996,0.304969,0.002497,0.265407,0.87807,0
42221,42221,0.906818,6,0.617021,0.156029,0.588069,0.01053,0.447954,0.619737,1
10392,10392,0.031061,1,0.510638,0.074547,0.515918,0.003467,0.422915,0.414912,1
17377,17377,0.442326,7,0.021277,0.045485,0.253794,0.003467,0.422915,0.414912,0
35554,35554,0.885315,7,0.723404,0.082953,0.497471,0.005341,0.440186,0.704825,1
24249,24249,0.460865,3,0.191489,0.029482,0.185659,0.002007,0.205852,0.472368,0
11676,11676,0.424671,7,0.255319,0.070764,0.080184,0.003467,0.422915,0.414912,0
16040,16040,0.437989,7,0.170213,0.042182,0.055341,0.003467,0.422915,0.414912,0
19873,19873,0.447635,3,0.021277,0.040891,0.544183,0.002624,0.428534,0.671491,0
